published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2024-09-18 23:14:06+00:00,GOOGL,Alphabet CEO Sundar Pichai sells shares worth over $3.6 million By Investing.com,Alphabet CEO Sundar Pichai sells shares worth over $3.6 million,https://www.investing.com/news/stock-market-news/alphabet-ceo-sundar-pichai-sells-shares-worth-over-36-million-93CH-3622516,investing.com,,
2024-09-18 22:08:00+00:00,GOOGL,Has Nvidia Stock Peaked? These Words From the CEO May Suggest What's Next,"Shares of Nvidia have soared almost 800% over the last two years, but can the company keep its growth up?",https://finance.yahoo.com/news/nvidia-stock-peaked-words-ceo-220800817.html,finance.yahoo.com,,
2024-09-18 19:08:45+00:00,GOOGL,Alphabet Inc. (GOOG): This AI Stock Receives Bullish Calls From Wall Street,"We recently compiled a list of the 19 Trending AI Stocks on Latest Analyst Ratings and News. In this article, we are going to take a look at where Alphabet Inc.",https://www.insidermonkey.com/blog/alphabet-inc-goog-this-ai-stock-receives-bullish-calls-from-wall-street-1355120/,insidermonkey.com,,
2024-08-19 23:30:00+00:00,GOOGL,Purpose Investments Inc. Announces August 2024 Distributions,"TORONTO, Aug.  19, 2024  (GLOBE NEWSWIRE) -- Purpose Investments Inc. (“Purpose”) is pleased to announce distributions for the month of August 2024 for its...",https://www.globenewswire.com/news-release/2024/08/19/2932493/0/en/Purpose-Investments-Inc-Announces-August-2024-Distributions.html,globenewswire.com,,
2024-08-19 22:32:09+00:00,GOOGL,"Google Leads Autonomous Vehicle Race, A Strong Case For Considering Shares (NASDAQ:GOOG)",The global auto industry has been stunned by Google's autonomous driving technology. Read how Waymo is revolutionizing the EV business with its autonomous driving technology.,https://seekingalpha.com/article/4715725-google-leads-the-autonomous-vehicle-race-a-strong-rationale-for-considering-its-shares,seekingalpha.com,,
2024-08-19 21:00:20+00:00,GOOGL,"Wall St ends higher, extending rally ahead of Jackson Hole","The S&P 500 and the Nasdaq extended their winning streak to eight consecutive sessions, the longest in 2024. Read more at straitstimes.com.",https://www.straitstimes.com/business/companies-markets/wall-st-ends-higher-extending-rally-ahead-of-jackson-hole,straitstimes.com,,
2024-07-20 14:00:01+00:00,GOOGL,Alphabet earnings and 3 more things we're watching in the stock market next week,"Alphabet headlines a group of Club holdings reporting earnings next week. Meanwhile, the Fed's favorite inflation gauge is the biggest economic release.",https://www.cnbc.com/2024/07/20/alphabet-earnings-and-3-more-things-were-watching-in-the-stock-market-next-week.html,cnbc.com,,
2024-07-20 14:00:00+00:00,GOOGL,"Google, Tesla Amid Earnings Deluge, Trump Talks Crypto, And Paris Olympics",Stay informed and get ahead of the market with Seeking Alpha's Stocks to Watch newsletter.,https://seekingalpha.com/article/4705209-google-tesla-amid-earnings-deluge-trump-talks-crypto-and-paris-olympics,seekingalpha.com,,
2024-07-20 13:00:03+00:00,GOOGL,Big Tech Stock Slump Amps Up Pressure to Deliver on Earnings,"(Bloomberg) -- The stakes were already elevated for technology giants heading into this earnings season. They just got a lot higher after the worst week for the Nasdaq 100 Index in three months. Most Read from BloombergZuckerberg Calls Trump’s Response to Shooting ‘Badass’CrowdStrike’s Global Outage Doesn’t Have to Be a Recurring NightmareBiden Plots to Salvage Campaign Many Allies Believe Is OverFrom ATMs to Flights, Epic IT Crash Leaves Trail of ChaosHow Routine CrowdStrike Update Crashed the",https://finance.yahoo.com/news/big-tech-stock-slump-amps-130003263.html,finance.yahoo.com,,
2024-06-20 23:10:27+00:00,GOOGL,Meta CEO Zuckerberg sells shares worth over $3.6 million By Investing.com,Meta CEO Zuckerberg sells shares worth over $3.6 million,https://www.investing.com/news/company-news/meta-ceo-zuckerberg-sells-shares-worth-over-36-million-93CH-3491228,investing.com,,
2024-06-20 23:05:36+00:00,GOOGL,California to fine GM's unit Cruise for delaying report on San Francisco accident By Reuters,California to fine GM's unit Cruise for delaying report on San Francisco accident,https://www.investing.com/news/stock-market-news/california-to-fine-gms-unit-cruise-for-delaying-report-on-san-francisco-accident-3491217,investing.com,,
2024-06-20 22:01:11+00:00,GOOGL,"Biden-era policy against hospital web trackers unlawful, judge rules By Reuters","Biden-era policy against hospital web trackers unlawful, judge rules",https://www.investing.com/news/stock-market-news/bidenera-policy-against-hospital-web-trackers-unlawful-judge-rules-3491165,investing.com,,
2024-05-21 21:24:38+00:00,GOOGL,DUHP: Dimensional's Quality-Focused ETF Is On My Buy List,"Dimensional US High Profitability ETF is an actively-managed, broadly-diversified large-cap blend ETF, an excellent complement to JQUA. Read more on DUHP ETF here.",https://seekingalpha.com/article/4694865-duhp-dimensionals-quality-focused-etf-is-on-my-buy-list,seekingalpha.com,,
2024-05-21 20:42:05+00:00,GOOGL,Microsoft Launches Team Copilot To Boost Workplace Collaboration,"Microsoft Corp. (NASDAQ:MSFT) has unveiled a new version of its Copilot assistant, designed to enhance team collaboration. The move is part of the company's broader strategy to integrate artificial intelligence across its product line. This AI assistant is Named Team Copilot and is designed to facilitate meetings by taking notes, summarizing key points, and managing deadlines. The service will become available to corporate clients later this year, Microsoft stated at its annual Build conference",https://finance.yahoo.com/news/microsoft-launches-team-copilot-boost-204205492.html?.tsrc=rss,finance.yahoo.com,,
2024-05-21 18:26:33+00:00,GOOGL,"Parallel Universes? AI, Energy, And Chips",The demand for AI-related initiatives is expected to drive data center power demand significantly by 2030. Read why this will require large investment in new energy generation capacity.,https://seekingalpha.com/article/4694825-parallel-universes-ai-energy-and-chips,seekingalpha.com,,
2024-04-21 23:46:53+00:00,GOOGL,US stock futures rise after two weeks of bruising losses By Investing.com,US stock futures rise after two weeks of bruising losses,https://www.investing.com/news/stock-market-news/us-stock-futures-rise-after-two-weeks-of-bruising-losses-3387721,investing.com,,
2024-04-21 23:39:44+00:00,GOOGL,Asian Traders Await Key Data; US Futures Climb: Markets Wrap,Asian markets were set for a muted open Monday as focus shifts to a slew of company earnings and economic data this week for insight into the direction of…,https://financialpost.com/pmn/business-pmn/asian-traders-await-key-data-us-futures-climb-markets-wrap,financialpost.com,,
2024-04-21 23:30:00+00:00,GOOGL,1 Undervalued Growth Stock Down 79%: But Don't Buy and Hold Until You Know These 3 Risks,It's always a good idea for investors to learn the bearish arguments for any business.,https://finance.yahoo.com/news/1-undervalued-growth-stock-down-233000129.html,finance.yahoo.com,,
