published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2024-09-18 22:08:00+00:00,TSLA,Has Nvidia Stock Peaked? These Words From the CEO May Suggest What's Next,"Shares of Nvidia have soared almost 800% over the last two years, but can the company keep its growth up?",https://finance.yahoo.com/news/nvidia-stock-peaked-words-ceo-220800817.html,finance.yahoo.com,,
2024-09-18 21:52:19+00:00,TSLA,Tesla's iTaxi Moment (NASDAQ:TSLA),"Tesla is caught between two growth cycles, and Robotaxi should be the next key driver. Learn more on TSLA stock here.",https://seekingalpha.com/article/4721954-tesla-itaxi-moment,seekingalpha.com,,
2024-09-18 21:15:47+00:00,TSLA,S&P 500 Gains and Losses Today: ResMed Drops as Weight-Loss Drugs Threaten Demand,"The S&P 500 ended 0.3% lower on Wednesday, Sept. 18, 2024, as the Federal Reserve announced its first interest-rate cut since March 2020.",https://www.investopedia.com/s-and-p-500-gains-and-losses-today-resmed-drops-as-weight-loss-drugs-threaten-demand-8714608,investopedia.com,,
2024-08-19 23:02:09+00:00,TSLA,"The Singing Machine Company, Inc. (MICS) Q2 2024 Earnings Call Transcript","The Singing Machine Company, Inc. (NASDAQ:NASDAQ:MICS) Q2 2024 Earnings Conference Call August 19, 2024 4:00 PM ETCompany ParticipantsGary Atkinson - Chief...",https://seekingalpha.com/article/4715733-singing-machine-company-inc-mics-q2-2024-earnings-call-transcript,seekingalpha.com,,
2024-08-19 22:36:23+00:00,TSLA,Market Momentum Continues as Wall Street Rides Wave of Optimism,"In a stunning display of resilience, U.S. stocks surged on Monday, building upon their most robust weekly performance in a year. The financial markets, seemingly unfazed by earlier August jitters, painted a picture of renewed confidence as all major indices closed at their session peaks. The S&P 500 (^GSPC), often…",https://wallstreetpit.com/119479-market-momentum-continues-as-wall-street-rides-wave-of-optimism/,wallstreetpit.com,,
2024-08-19 22:32:24+00:00,TSLA,"Market Today: Tesla's Humanoid Robot Project, Palo Alto Networks Earnings Beat, and Intel Workforce","Market OverviewThe stock market entered the new week with a continuation of last week's rally. A last-minute push higher had the S&P 500 (+1.0%), Nasdaq Composi",https://www.gurufocus.com/news/2506010/market-today-teslas-humanoid-robot-project-palo-alto-networks-earnings-beat-and-intel-workforce,gurufocus.com,,
2024-07-20 23:33:43+00:00,TSLA,"Trump Fans Yell They Want Biden, Not Harris, as 2024 Opponent",Donald Trump polled supporters at his Michigan rally whether they’d prefer for him to run against President Joe Biden or Vice President Kamala Harris. An overwhelmi…,https://financialpost.com/pmn/business-pmn/trump-fans-yell-they-want-biden-not-harris-as-2024-opponent,financialpost.com,,
2024-07-20 22:36:00+00:00,TSLA,Should You Buy VinFast Auto Stock While It's Below $5?,The Vietnamese EV maker's stock has dropped more than 90% from its all-time high.,https://finance.yahoo.com/news/buy-vinfast-auto-stock-while-223600060.html,finance.yahoo.com,,
2024-07-20 18:31:00+00:00,TSLA,"Notable analyst calls this week: Shopify, CrowdStrike and Chegg among top picks","The article provides updates on stock market movements, analyst calls, and potential opportunities and risks for various companies, including Shopify,...",https://seekingalpha.com/news/4125888-notable-analyst-calls-this-week-shopify-crowdstrike-and-chegg-among-top-picks,seekingalpha.com,,
2024-06-20 23:45:06+00:00,TSLA,Canada Prepares Potential Tariffs on Chinese EVs After US and EU Moves,Prime Minister Justin Trudeau’s government is preparing potential new tariffs on Chinese-made electric vehicles to align Canada with actions taken by the US and Eur…,https://financialpost.com/pmn/business-pmn/canada-prepares-potential-tariffs-on-chinese-evs-after-us-and-eu-moves,financialpost.com,,
2024-06-20 22:16:04+00:00,TSLA,Sienna Company Update By Investing.com,Sienna Company Update,https://www.investing.com/news/press-releases/sienna-company-update-93CH-3491191,investing.com,,
2024-06-20 20:58:55+00:00,TSLA,Morgan Stanley adjusts its US Model Portfolio By Investing.com,Morgan Stanley adjusts its US Model Portfolio,https://www.investing.com/news/stock-market-news/morgan-stanley-adjusts-its-us-model-portfolio-3491006,investing.com,,
2024-05-21 21:56:33+00:00,TSLA,Wall Street: double record on eve of FOMC minutes,"There's no stopping Wall Street on the eve of the publication of the minutes of the latest FOMC meeting: Microsoft served as the driving force, consolidating its position as the world's largest...",https://www.marketscreener.com/quote/index/DOW-JONES-INDUSTRIAL-4945/news/Wall-Street-double-record-on-eve-of-FOMC-minutes-46787856/,marketscreener.com,,
2024-05-21 21:54:23+00:00,TSLA,"Microsoft's ChatGPT-4o integration, ethereum surge, retail earnings: Market Domination","On today's episode of Market Domination, Yahoo Finance Hosts Julie Hyman and Josh Lipton break down some of the trading day's biggest stories and the AI boom's impact on the market (^DJI,^GSPC, ^IXIC). Federal Reserve Governor Christopher Waller said he favors holding higher interest rates for longer, needing several months of favorable inflation data before pursuing rate cuts. Hennion & Walsh chief investment officer Kevin Mahn warns that this could be a slippery slope:",https://finance.yahoo.com/video/microsofts-chatgpt-4o-integration-ethereum-215423214.html?.tsrc=rss,finance.yahoo.com,,
2024-05-21 21:14:12+00:00,TSLA,Toll Brothers Earnings Grow 60% As Luxury Homebuilder Raises Full-Year Outlook,Toll Brothers earnings comfortably beat Q2 views late Tuesday. Toll stock rose within a buy zone. Williams-Sonoma reports early Wednesday.,https://www.investors.com/news/toll-brothers-earnings-toll-stock-williams-sonoma/,investors.com,,
